
Aggregation
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709900103622 |          0 |          0 |
|     2 | 1709900103622 |          0 |          0 |
|     3 | 1709900103622 |          0 |          0 |
|     4 | 1709900103623 |         +1 |         +1 |
|     5 | 1709900103623 |         +1 |          0 |
|     6 | 1709900103623 |         +1 |          0 |
|     7 | 1709900103623 |         +1 |          0 |
|     8 | 1709900103623 |         +1 |          0 |


Aggregation
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709900105379 |          0 |          0 |
|     2 | 1709900105379 |          0 |          0 |
|     3 | 1709900105379 |          0 |          0 |
|     4 | 1709900105379 |          0 |          0 |
|     5 | 1709900105379 |          0 |          0 |
|     6 | 1709900105379 |          0 |          0 |
|     7 | 1709900105380 |         +1 |         +1 |
|     8 | 1709900105380 |         +1 |          0 |


Merge
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709900105379 |          0 |          0 |
|     2 | 1709900105379 |          0 |          0 |
|     3 | 1709900105379 |          0 |          0 |
|     4 | 1709900105379 |          0 |          0 |
|     5 | 1709900105380 |         +1 |         +1 |
|     6 | 1709900105380 |         +1 |          0 |
|     7 | 1709900105380 |         +1 |          0 |
|     8 | 1709900105381 |         +2 |         +1 |


Merge
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709900103622 |          0 |          0 |
|     2 | 1709900103622 |          0 |          0 |
|     3 | 1709900103623 |         +1 |         +1 |
|     4 | 1709900103623 |         +1 |          0 |
|     5 | 1709900103623 |         +1 |          0 |
|     6 | 1709900103623 |         +1 |          0 |
|     7 | 1709900103624 |         +2 |         +1 |
|     8 | 1709900103624 |         +2 |          0 |
