Aggregation
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709899963373 |          0 |          0 |
|     2 | 1709899963373 |          0 |          0 |
|     3 | 1709899963373 |          0 |          0 |
|     4 | 1709899963373 |          0 |          0 |
|     5 | 1709899963373 |          0 |          0 |
|     6 | 1709899963373 |          0 |          0 |
|     7 | 1709899963374 |         +1 |         +1 |
|     8 | 1709899963374 |         +1 |          0 |

Aggregation
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709899964216 |          0 |          0 |
|     2 | 1709899964216 |          0 |          0 |
|     3 | 1709899964216 |          0 |          0 |
|     4 | 1709899964216 |          0 |          0 |
|     5 | 1709899964216 |          0 |          0 |
|     6 | 1709899964216 |          0 |          0 |
|     7 | 1709899964216 |          0 |          0 |
|     8 | 1709899964216 |          0 |          0 |



Merge
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709899963373 |          0 |          0 |
|     2 | 1709899963373 |          0 |          0 |
|     3 | 1709899963373 |          0 |          0 |
|     4 | 1709899963374 |         +1 |         +1 |
|     5 | 1709899963374 |         +1 |          0 |
|     6 | 1709899963374 |         +1 |          0 |
|     7 | 1709899963375 |         +2 |         +1 |
|     8 | 1709899963375 |         +2 |          0 |

Merge
| Place |   Time (ms)   | Diff First |  Diff Prev |
| +++++ | ++++++++++++++| ++++++++++ |  +++++++++ |
|     1 | 1709899964216 |          0 |          0 |
|     2 | 1709899964216 |          0 |          0 |
|     3 | 1709899964216 |          0 |          0 |
|     4 | 1709899964216 |          0 |          0 |
|     5 | 1709899964216 |          0 |          0 |
|     6 | 1709899964217 |         +1 |         +1 |
|     7 | 1709899964217 |         +1 |          0 |
|     8 | 1709899964218 |         +2 |         +1 |
